1. У вас много различных хобби?; +
2. Вы обдумываете предварительно то, что собираетесь сделать?; +
3. У вас часто бывают спады и подъемы настроения?; +
4. Вы претендовали когда-нибудь на похвалу за то, что в дей¬ствительности сделал другой человек?; -
5. Вы разговорчивый человек?; +
6. Вас беспокоило бы то, что вы залезли в долги?; +
7. Вам приходилось чувствовать себя несчастным человеком без особых на то причин?; +
8. Вам случалось когда-нибудь пожадничать, чтобы получить больше, чем вам полагалось?; +
9. Вы тщательно запираете дверь на ночь?; -
10. Вы считаете себя жизнерадостным человеком?; +
11. Увидев, как страдает ребенок, животное, вы бы сильно расстроились?; +
12. Вы часто переживаете из-за того, что сделали или сказали что-то, чего не следовало бы делать или говорить?; +
13. Вы всегда исполняете свои обещания, даже если лично вам это очень неудобно?; -
14. Вы получили бы удовольствие, прыгая с парашютом?; -
15. Способны ли вы дать волю чувствам и от души повеселить¬ся в шумной компании?; +
16. Вы раздражительны?; +
17. Вы когда-нибудь обвиняли кого-нибудь в том, в чем на са¬мом деле были виноваты сами?; -
18. Вам нравится знакомиться с новыми людьми?; +
19. Вы верите в пользу страхования?; -
20. Легко ли вас обидеть?; -
21. Все ли ваши привычки хороши и желательны?; -
22. Вы стараетесь быть в тени, находясь в обществе?; -
23. Стали бы вы принимать средства, которые могут привести вас в необычное или опасное состояние (алкоголь, нарко¬тики)?; -
24. Вы часто испытываете такое состояние, когда все надоело?; +
25. Вам случалось брать вещи, принадлежащие другому лицу, будь это даже такая мелочь, как булавка или пуговица?; +
26. Вам нравится часто ходить к кому-нибудь в гости и бывать в обществе?; -
27. Вам доставляет удовольствие обижать тех, кого вы любите?; -
28. Вас часто беспокоит чувство вины?; +
29. Вам приходилось говорить о том, в чем вы плохо разбирае¬тесь?; +
30. Вы обычно предпочитаете книги встречам с людьми?; -
31. У вас есть явные враги?; -
32. Вы назвали бы себя нервным человеком?; +
33. Вы всегда извиняетесь, когда нагрубите другому?; -
34. У вас много друзей?; +
35. Вам нравится устраивать розыгрыши и шутки, которые иногда могут действительно причинить людям боль?; -
36. Вы беспокойный человек?; +
37. В детстве вы всегда безропотно и немедленно выполняли то, что вам приказывали?; -
38. Вы считаете себя беззаботным человеком?; +
39. Много ли для вас значат хорошие манеры и чистоплот¬ность?; +
40. Волнуетесь ли вы по поводу каких-либо ужасных событий, которые могли бы случиться, но не случились?; +
41. Вам случалось сломать или потерять чужую вещь?; +
42. Вы обычно первыми проявляете инициативу при знаком¬стве?; +
43. Можете ли вы легко понять состояние человека, если он делится с вами заботами?; +
44. У вас часто нервы бывают натянуты до предела?; +
45. Бросите ли вы ненужную бумажку на пол, если под рукой нет корзины?; -
46. Вы больше молчите, находясь в обществе других людей?; -
47. Считаете ли вы, что брак старомоден и его следует отме¬нить?; -
48. Вы иногда чувствуете жалость к себе?; +
49. Вы иногда много хвастаетесь?; -
50. Вы легко можете внести оживление в довольно скучную компанию?; +
51. Раздражают ли вас осторожные водители?; -
52. Вы беспокоитесь о своем здоровье?; +
53. Вы говорили когда-нибудь плохо о другом человеке?; +
54. Вы любите пересказывать анекдоты и шутки своим друзь¬ям?; +
55. Для вас большинство пищевых продуктов одинаковы на вкус?; -
56. Бывает ли у вас иногда дурное настроение?; +
57. Вы дерзили когда-нибудь своим родителям в детстве?; +
58. Вам нравится общаться с людьми?; +
59. Вы переживаете, если узнаете, что допустили ошибки в своей работе?; -
60. Вы страдаете от бессонницы?; -
61. Вы всегда моете руки перед едой?; +
62. Вы из тех людей, которые не лезут за словом в карман?; -
63. Вы предпочитаете приходить на встречу немного раньше назначенного времени?; -
64. Вы чувствуете себя апатичным, усталым без какой-либо причины?; -
65. Вам нравится работа, требующая быстрых действий?; -
66. Вы так любите поговорить, что не упускаете любого удоб¬ного случая побеседовать с новым человеком?; -
67. Ваша мать – хороший человек (была хорошим человеком)?; +
68. Часто ли вам кажется, что жизнь ужасно скучна?; -
69. Вы когда-нибудь воспользовались оплошностью другого человека в своих целях?; +
70. Вы часто берете на себя больше, чем позволяет время?; +
71. Есть ли люди, которые стараются избегать вас?; +
72. Вас очень заботит ваша внешность?; +
73. Вы всегда вежливы, даже с неприятными людьми?; +
74. Считаете ли вы, что люди затрачивают слишком много времени, чтобы обеспечить свое будущее, откладывая сбе¬режения, страхуя себя и свою жизнь?; +
75. Возникало ли у вас когда-нибудь желание умереть?; -
76. Вы попытались бы избежать уплаты налога с дополнитель¬ного заработка, если бы были уверены, что вас никогда не смогут уличить в этом?; +
77. Душа компании – это о вас?; +
78. Вы стараетесь не грубить людям?; +
79. Вы долго переживаете после случившегося конфуза?; +
80. Вы когда-нибудь настаивали на том, чтобы было по-ва¬шему?; +
81. Вы часто приезжаете на вокзал в последнюю минуту перед отходом поезда?; +
82. Вы когда-нибудь намеренно говорили что-нибудь непри¬ятное или обидное для человека?; -
83. Вас беспокоили ваши нервы?; +
84. Вам неприятно находиться среди людей, которые подшу¬чивают над товарищами?; -
85. Вы легко теряете друзей по своей вине?; +
86. Вы часто испытываете чувство одиночества?; -
87. Всегда ли ваши слова совпадают с делом?; -
88. Нравится ли вам иногда дразнить животных?; +
89. Вы легко обижаетесь на замечания, касающиеся лично вас и вашей работы?; -
90. Жизнь без какой-либо опасности показалась бы вам слиш¬ком скучной?; -
91. Вы когда-нибудь опаздывали на свидание или работу?; +
92. Вам нравится суета и оживление вокруг вас?; +
93. Вы хотите, чтобы люди боялись вас?; -
94. Верно ли, что вы иногда полны энергии и все горит в ру¬ках, а иногда совсем вялы?; +
95. Вы иногда откладываете на завтра то, что должны сделать сегодня?; -
96. Считают ли вас живым и веселым человеком?; +
97. Часто ли вам говорят неправду?; -
98. Вы очень чувствительны к некоторым явлениям, событи¬ям, вещам?; +
99. Вы всегда готовы признавать свои ошибки?; +
100. Вам когда-нибудь было жалко животное, которое попало в капкан?; +
101.Трудно ли вам было заполнять анкету?; -
